prime,index,p2p
10529,1286,1080
10531,1287,1081
10559,1288,1084
10567,1289,1084
10589,1290,1089
10597,1291,1092
10601,1292,1091
10607,1293,1091
10613,1294,1091
10627,1295,1092
10631,1296,1091
10639,1297,1092
10651,1298,1092
10657,1299,1092
10663,1300,1094
10667,1301,1093
10687,1302,1094
10691,1303,1095
10709,1304,1099
10711,1305,1099
10723,1306,1099
10729,1307,1098
10733,1308,1097
10739,1309,1097
10753,1310,1102
10771,1311,1105
10781,1312,1106
10789,1313,1108
10799,1314,1109
10831,1315,1116
10837,1316,1116
10847,1317,1116
10853,1318,1116
10859,1319,1116
10861,1320,1115
10867,1321,1115
10883,1322,1118
10889,1323,1119
10891,1324,1118
10903,1325,1120
10909,1326,1120
10937,1327,1126
10939,1328,1125
10949,1329,1126
10957,1330,1126
10973,1331,1128
10979,1332,1127
10987,1333,1127
10993,1334,1127
11003,1335,1129
11027,1336,1134
11047,1337,1139
11057,1338,1140
11059,1339,1139
11069,1340,1141
11071,1341,1140
11083,1342,1143
11087,1343,1143
11093,1344,1142
11113,1345,1143
11117,1346,1143
11119,1347,1142
11131,1348,1143
11149,1349,1148
11159,1350,1149
11161,1351,1148
11171,1352,1147
11173,1353,1147
11177,1354,1147
11197,1355,1150
11213,1356,1151
11239,1357,1155
11243,1358,1156
11251,1359,1156
11257,1360,1156
11261,1361,1155
11273,1362,1157
11279,1363,1157
11287,1364,1159
11299,1365,1158
11311,1366,1160
11317,1367,1159
11321,1368,1160
11329,1369,1161
11351,1370,1165
11353,1371,1164
11369,1372,1167
11383,1373,1169
11393,1374,1171
11399,1375,1171
11411,1376,1173
11423,1377,1172
11437,1378,1175
11443,1379,1175
11447,1380,1174
11467,1381,1176
11471,1382,1176
11483,1383,1178
11489,1384,1178
11491,1385,1177
11497,1386,1177
11503,1387,1177
11519,1388,1181
11527,1389,1183
11549,1390,1188
11551,1391,1188
11579,1392,1190
11587,1393,1192
11593,1394,1191
11597,1395,1191
11617,1396,1195
11621,1397,1194
11633,1398,1194
11657,1399,1199
11677,1400,1202
11681,1401,1202
11689,1402,1203
11699,1403,1202
11701,1404,1202
11717,1405,1203
11719,1406,1202
11731,1407,1203
11743,1408,1203
11777,1409,1208
11779,1410,1208
11783,1411,1209
11789,1412,1209
11801,1413,1211
11807,1414,1212
11813,1415,1212
11821,1416,1214
11827,1417,1213
11831,1418,1212
11833,1419,1212
11839,1420,1214
11863,1421,1216
11867,1422,1215
11887,1423,1221
11897,1424,1221
11903,1425,1221
11909,1426,1221
11923,1427,1224
11927,1428,1223
11933,1429,1223
11939,1430,1224
11941,1431,1224
11953,1432,1226
11959,1433,1228
11969,1434,1228
11971,1435,1227
11981,1436,1227
11987,1437,1227
12007,1438,1231
12011,1439,1231
12037,1440,1236
12041,1441,1236
12043,1442,1236
12049,1443,1237
12071,1444,1243
12073,1445,1242
12097,1446,1245
12101,1447,1245
12107,1448,1245
12109,1449,1244
12113,1450,1244
12119,1451,1244
12143,1452,1247
12149,1453,1246
12157,1454,1245
12161,1455,1245
12163,1456,1244
12197,1457,1250
12203,1458,1249
12211,1459,1252
12227,1460,1253
12239,1461,1254
12241,1462,1254
12251,1463,1254
12253,1464,1253
12263,1465,1254
12269,1466,1255
12277,1467,1256
12281,1468,1255
12289,1469,1255
12301,1470,1255
12323,1471,1257
12329,1472,1256
12343,1473,1259
12347,1474,1259
12373,1475,1261
12377,1476,1261
12379,1477,1260
12391,1478,1262
12401,1479,1263
12409,1480,1263
12413,1481,1263
12421,1482,1263
12433,1483,1265
12437,1484,1264
12451,1485,1265
12457,1486,1265
12473,1487,1268
12479,1488,1268
12487,1489,1269
12491,1490,1270
12497,1491,1270
12503,1492,1269
12511,1493,1269
12517,1494,1270
12527,1495,1270
12539,1496,1271
12541,1497,1270
12547,1498,1270
12553,1499,1270
12569,1500,1273
12577,1501,1274
12583,1502,1274
12589,1503,1275
12601,1504,1276
12611,1505,1276
12613,1506,1275
12619,1507,1276
12637,1508,1279
12641,1509,1278
12647,1510,1277
12653,1511,1278
12659,1512,1279
12671,1513,1280
12689,1514,1284
12697,1515,1284
12703,1516,1283
12713,1517,1285
12721,1518,1285
12739,1519,1290
12743,1520,1289
12757,1521,1288
12763,1522,1288
12781,1523,1290
12791,1524,1291
12799,1525,1292
12809,1526,1294
12821,1527,1296
12823,1528,1296
12829,1529,1296
12841,1530,1298
12853,1531,1299
12889,1532,1305
12893,1533,1304
12899,1534,1304
12907,1535,1305
12911,1536,1305
12917,1537,1304
12919,1538,1303
12923,1539,1303
12941,1540,1306
12953,1541,1307
12959,1542,1307
12967,1543,1309
12973,1544,1310
12979,1545,1310
12983,1546,1309
13001,1547,1312
13003,1548,1312
13007,1549,1311
13009,1550,1311
